"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Input.x","Input.y","Answer.value","Approve","Reject"
"2ZQIUB2YU98J0VWQ5NC0NBJ9KKA9LS","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2ERMAZHHRRLF93RSHFIH9KHOHU1MDG","A1B30WYGMK5EUY","Approved","Sat Oct 13 17:23:46 GMT 2012","Sat Oct 13 17:23:56 GMT 2012","Sat Oct 20 10:23:56 PDT 2012","Sat Oct 13 11:09:05 PDT 2012","","","10","65% (73/112)","65% (73/112)","65% (73/112)","http://jdadesign.net/turk/palettes-sym/palette-1.png","B","A","9"
"2ZQIUB2YU98J0VWQ5NC0NBJ9KKA9LS","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2H1KQW618N46D0IH7OWXKETNL86OMD","A395XJOUXFEQ7Z","Approved","Sat Oct 13 16:47:29 GMT 2012","Sat Oct 13 16:47:38 GMT 2012","Sat Oct 20 09:47:38 PDT 2012","Sat Oct 13 11:09:05 PDT 2012","","","9","56% (19/34)","56% (19/34)","56% (19/34)","http://jdadesign.net/turk/palettes-sym/palette-1.png","B","A","10"
"2ZQIUB2YU98J0VWQ5NC0NBJ9KKA9LS","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2UHFE4EGDHDML8ODCTEZ46HE7M9AKX","A2HM35CWB7IIFM","Approved","Sat Oct 13 17:11:18 GMT 2012","Sat Oct 13 17:11:37 GMT 2012","Sat Oct 20 10:11:37 PDT 2012","Sat Oct 13 11:09:07 PDT 2012","","","19","97% (155/159)","97% (155/159)","97% (155/159)","http://jdadesign.net/turk/palettes-sym/palette-1.png","B","A","8"
"24BL0XULRGNTUM6RGXO5NP7N8YJ4QG","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","291RNDWIOV1SQVQ87D7U93YD7O7HWA","A1OX7P2VP3XCK3","Approved","Sat Oct 13 17:10:17 GMT 2012","Sat Oct 13 17:11:01 GMT 2012","Sat Oct 20 10:11:01 PDT 2012","Sat Oct 13 11:09:04 PDT 2012","","","44","100% (22/22)","100% (22/22)","100% (22/22)","http://jdadesign.net/turk/palettes-sym/palette-1.png","C","A","7"
"24BL0XULRGNTUM6RGXO5NP7N8YJ4QG","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2EKMEZZ2MIKM6CXDJTP3GTWW5YO6N8","A997OZ3H2B3Q2","Approved","Sat Oct 13 17:23:31 GMT 2012","Sat Oct 13 17:23:46 GMT 2012","Sat Oct 20 10:23:46 PDT 2012","Sat Oct 13 11:09:05 PDT 2012","","","15","95% (121/128)","95% (121/128)","95% (121/128)","http://jdadesign.net/turk/palettes-sym/palette-1.png","C","A","7"
"24BL0XULRGNTUM6RGXO5NP7N8YJ4QG","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2JR6KW4ZMAZH0UUQ9AROVNVRPH4H8V","APLQSM4J9E6LR","Approved","Sat Oct 13 17:06:43 GMT 2012","Sat Oct 13 17:08:48 GMT 2012","Sat Oct 20 10:08:48 PDT 2012","Sat Oct 13 11:09:05 PDT 2012","","","125","100% (60/60)","100% (60/60)","100% (60/60)","http://jdadesign.net/turk/palettes-sym/palette-1.png","C","A","5"
"20KD21O3W5XHJMSUM2TK6EPLUL5GA7","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2BWIXKO2L92HXFZF0HUYWCCF8SAEDJ","A997OZ3H2B3Q2","Approved","Sat Oct 13 17:21:19 GMT 2012","Sat Oct 13 17:21:37 GMT 2012","Sat Oct 20 10:21:37 PDT 2012","Sat Oct 13 11:09:08 PDT 2012","","","18","95% (121/128)","95% (121/128)","95% (121/128)","http://jdadesign.net/turk/palettes-sym/palette-1.png","D","A","9"
"20KD21O3W5XHJMSUM2TK6EPLUL5GA7","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2O5D2AC9KSSZE007KOWU2KQO6W9I04","A2HM35CWB7IIFM","Approved","Sat Oct 13 17:46:23 GMT 2012","Sat Oct 13 17:46:36 GMT 2012","Sat Oct 20 10:46:36 PDT 2012","Sat Oct 13 11:09:05 PDT 2012","","","13","97% (155/159)","97% (155/159)","97% (155/159)","http://jdadesign.net/turk/palettes-sym/palette-1.png","D","A","11"
"20KD21O3W5XHJMSUM2TK6EPLUL5GA7","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2XM8LZ6R70G5ACBI23UVM7WS099N7P","A2BA1R9MAHHWJH","Approved","Sat Oct 13 17:44:10 GMT 2012","Sat Oct 13 17:44:24 GMT 2012","Sat Oct 20 10:44:24 PDT 2012","Sat Oct 13 11:09:05 PDT 2012","","","14","99% (241/243)","99% (241/243)","99% (241/243)","http://jdadesign.net/turk/palettes-sym/palette-1.png","D","A","10"
"2I0NMHGYQ4J36DEB5ZDFNOYYKPZM96","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2RHCGJ2D21O3F80MU3GP0I2K6UBC6X","APLQSM4J9E6LR","Approved","Sat Oct 13 17:38:54 GMT 2012","Sat Oct 13 17:39:46 GMT 2012","Sat Oct 20 10:39:46 PDT 2012","Sat Oct 13 11:09:06 PDT 2012","","","52","100% (60/60)","100% (60/60)","100% (60/60)","http://jdadesign.net/turk/palettes-sym/palette-1.png","E","A","6"
"2I0NMHGYQ4J36DEB5ZDFNOYYKPZM96","22X2J1LY58B7LAP5C06KPD16YF16RV","Read a number off a graph","Look at a graph and read back the value of a number from the graph","graph, color","$0.02","Sat Oct 13 16:41:38 GMT 2012","3","BatchId:933667;","600","604800","Sun Oct 14 16:41:38 GMT 2012","","","2WF9U8P9Y38TFZ0NXCLYQM0J1Q0GX3","A47E0Z3LTH37V","Approved","Sat Oct 13 17:04:43 GMT 2012","Sat Oct 13 17:05:04 GMT 2012","Sat Oct 20 10:05:04 PDT 2012","Sat Oct 13 11:09:06 PDT 2012","","","21","96% (69/72)","96% (69/72)","96% (69/72)","http://jdadesign.net/turk/palettes-sym/palette-1.png","E","A","6"
